,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
2708,neutral,negative,positive,neutral,negative,positive,Not a lot of female presence in the Qatar fan base. #WorldCup2022
2709,neutral,neutral,neutral,negative,negative,negative,#WorldCup2022  Ambani is to Jio what Elon is to Twitter. Full on messed up 🤣
2710,neutral,negative,negative,neutral,neutral,positive,12 min more to go ...  My gut expecting one goal from qater   World Cup live  Qtr- 0 Ecu- 2 Time : 81:05 Win probability Ecu : 81' #FIFAWorldCup       #WorldCup2022 #EcuadorvsQatar
2711,positive,positive,neutral,negative,neutral,neutral,People use your comman sense #algorand is not gunna get shown at the #Worldcup2022 what people need to notice is #FiFA+ in the stafiums and billions off eyes watching! to find $Algo https://t.co/ugqtYr7Ior
2712,negative,negative,negative,positive,positive,positive,"Qatar have been resilient. To be sure Ecuador aren’t a great team, but the game has been entertaining and interesting. Qatar players are motivated and physical, making ECU earn everything they get. #WorldCup2022"
2713,negative,neutral,positive,negative,neutral,negative,"""Hello is this VAR HQ, we need a penalty ASAP!!"" #FIFAWorldCup #WorldCup2022 https://t.co/iCcO5A187i"
2714,positive,positive,positive,positive,positive,positive,"In sum, Ecuador is better. Better team, better players, better organized, more intensity, better decisions, more understanding of the game, and more experience. A simple story or, to be sincere, an opening game without ""history"" on the field. #WorldCup2022"
2715,negative,neutral,negative,negative,negative,negative,Ecuador will get milled by the others in their group. This is walking pace. The heat must be killing them. #WorldCup2022
2716,neutral,positive,neutral,neutral,neutral,neutral,seming-autoing-offingsiding-systeming  #WorldCup2022
2717,neutral,positive,neutral,neutral,neutral,neutral,It was outside but if it wasn’t it should of been a goal #FIFAWorldCup #WorldCup2022 #WorldCup https://t.co/Dy9k9yjAIn
2718,neutral,positive,neutral,neutral,neutral,positive,Jk dreamers #WorldCup2022
2719,positive,neutral,neutral,neutral,negative,neutral,Yellow card ko barsha xatw.  #WorldCup2022 #Qatar2022 #FIFAWorldCup2022
2720,neutral,neutral,positive,negative,negative,positive,Exclusive: England bribed eight Iranian players $7.4 million to lose the opener(1-0 ⚽️ 2nd half). Five English and #Iran insiders confirmed this.We hope it's false. We hope sharing this will affect the outcome.The world should oppose FIFA corruption. @MailSport #WorldCup2022
2721,neutral,negative,positive,positive,positive,positive,"Supporting my homecountry team. ❤️❤️❤️ECUADOR  @ParticipateLrng   #UnitingOurWorld, #BridgeUSA,  #WorldCup2022 https://t.co/G3tie9pcmy"
2722,positive,neutral,positive,neutral,positive,negative,"@wcierc20 5.7 ETH for 0.05 of mining cost , $WCI is crazy 🚀🚀#WCIxFootball #WorldCup2022"
2723,neutral,positive,neutral,positive,positive,positive,"#WorldCup2022 would be so much more fun if they played on a smaller surface with boards, ice instead of grass, smaller nets, swap a puck for the ball, allow hitting and fighting, have five players skating around at a time with sticks and a goalie with some big fancy gear."
2724,positive,neutral,neutral,negative,negative,positive,Imagine hosting the #WorldCup2022 and losing the first game LMFAO
2725,neutral,positive,positive,positive,neutral,negative,"Enner Valencia coming off for Ecuador due to injury.   What a first World Cup opener for the former Westham Utd, Everton man, with two goals  He has five (5)goals in the world cup for Ecuador, in five games played. The first Ecuadorian player to reach that figure   #WorldCup2022 https://t.co/XdyVUGQ9zJ"
2726,neutral,positive,positive,negative,negative,positive,@elonmusk Shadow Banning?  All major World Cup hashtags are not showing anything from the opening ceremony. Twitter Sounds like BBC  #WorldCup  #worldcup2022 #WorldcupQatar2022  #Qatar2022
2727,positive,neutral,neutral,positive,positive,positive,Watching #WorldCup2022 next to a #Christmas tree.... kinda cool actually
2728,positive,negative,negative,negative,negative,negative,"Human rights issues in Qatar being criticized by the white West, whose history is literally the worst of human rights violations that went on for decades, &amp; even if no one can change the past, they defntly havent bothered to recognize those violations even today. #WorldCup2022"
2729,neutral,positive,neutral,negative,negative,positive,@fynRuthie Taris😂😂😂 don't forget the Ka which is Qa as in sp. The most corrupt #worldcup ever #WorldCup2022 #WorldCupQatar
2730,positive,neutral,positive,neutral,positive,neutral,World Cup + 🦍 = 🙌 #MGSC #Gorilla #WorldCup2022 https://t.co/Jj8KzoPKs3
2731,negative,neutral,neutral,negative,negative,negative,Only 191 minutes until #Qatar is rightfully dumped out of this tournament.  #QATECU #WorldCup2022 #WorldCup #FIFAWorldCup #FuckFIFA
2732,neutral,positive,positive,neutral,neutral,positive,"Serious question, what was Morgan Freeman doing at the #WorldCup2022 ?"
2733,positive,positive,positive,negative,negative,negative,After this game Qatar will allow drinking to forget how much they suck #FIFAWorldCup #WorldCup2022
2734,positive,negative,positive,neutral,neutral,neutral,Football fans wave Palestinian flags during the #WorldCup2022 opening ceremony at #Qatar's al-Bayt Stadium.  #FIFAWorldCup #FIFAWorldCup2022 #كأس_العالم_قطر_2022 #كأس_العالم_2022 #QatarWorldCup2022 #Qatar2022 #قطر_رفعتوا_الراس https://t.co/KP6VIn4iSF
2735,neutral,positive,negative,negative,neutral,positive,Qatar is Greg Abbott’ wet dream. #WorldCup #WorldcupQatar2022 #worldcup2022 @GregAbbott_TX #hotwheels
2736,negative,positive,neutral,negative,neutral,positive,Yohooo 3rd goal   Oh No no off side   #FIFAWorldCup       #WorldCup2022 #EcuadorvsQatar
2737,positive,positive,neutral,neutral,neutral,positive,Ngl this Afif guy for Qatar looks like Mo Salah  Also Afif is the anagram of Fifa #worldcup2022 #FIFAWorldCup
2738,positive,neutral,positive,neutral,neutral,negative,Anyone moaned about the ball being too lightweight yet?  #WorldCup2022
2739,negative,negative,neutral,neutral,negative,positive,"Imagine winning the rights to the greatest show on earth and @CVMTV can't update their schedule to say #WorldCup2022 or #FIFAWorldCup2022. @CVMTV, please update your schedule guide."
2740,neutral,neutral,neutral,negative,negative,positive,"How did the host nation #Qatar &amp; @QFA_EN think it was okay to field such an unprepared team for #WorldCup2022. @FIFACOM-As fans, we want to see really high quality games, #NOTTHIS. We cannot blame the Qatari team at all. #QATECU #QatarWorldCup2022 #Qatar2022"
2741,positive,positive,neutral,negative,negative,negative,Opening game of the #WorldCup2022 got me like 🥱 absolute dog shit this game #BBCWorldCup https://t.co/3ypdARyYn3
2742,neutral,positive,negative,positive,positive,negative,The man the legend just got sub out Valencia should of had a hat trick #FIFAWorldCup #WorldCup2022 #WorldcupQatar2022
2743,negative,positive,neutral,neutral,neutral,neutral,In Pictures: Palestinian football fans gather in a large hall in Gaza to watch Qatar vs. Ecuador match at Al-Bayt Stadium 🇶🇦🇵🇸  #WorldCup2022  #RaisePalestineFlags https://t.co/HnERnUOvE7
2744,neutral,negative,neutral,negative,neutral,neutral,Like two spastics fighting over a melted ice cream. #WorldCup2022
2745,positive,neutral,positive,positive,positive,positive,"@Chiliz @binance Amazing event!!   Btw, we're holding #RoadtoQatar2022 with rewards of 10.000$ for #everyone to enjoy our game in the #WorldCup2022 atmosphere 🐍  Great to have you &amp; the community play unlimited for free &amp; collect national  flags to claim rewards now: https://t.co/x19o8O7bMh https://t.co/SNM7RYbHkT"
2746,negative,negative,positive,positive,positive,positive,Italy national team is ready for the World Cup #WorldCup #WorldCup2022 #WorldcupQatar2022 #QatarWorldCup2022 #Qatar #Qatar2022 https://t.co/CX4IzCPukf
2747,negative,positive,positive,negative,negative,negative,Shit of the year @JioCinema #WorldCup2022 #FIFAWorldCup
2748,negative,neutral,positive,negative,neutral,neutral,Two yellow cards equals 1 red card player elimination #WorldCup2022
2749,positive,positive,positive,positive,positive,positive,That boi looking clean with them jersey’s !!!   Ready for world Cup 👌🏻 @okaybears @okbcommunity #WorldCup2022 https://t.co/zv3TDj1U6u
2750,neutral,neutral,positive,negative,negative,negative,Wear it anyway. Fuck FIFA. Fuck Qatar and their discriminatory laws.  #WorldCup2022 #OneLove https://t.co/pamfemPWJL
2751,negative,negative,negative,negative,negative,positive,Ecuador's team is over 90% black and yet I couldn't spot one black fan on the stands. That speaks to their economical standing in that country. Re tlameha ho thibela tshotleho ya rona 💰.Guys we need to emancipate ourselves economically. #Blackeconomy #Blackpolitics #WorldCup2022
2752,neutral,neutral,neutral,positive,positive,positive,Make £4.20 profit with this William Hill price boost on England v Iran on Monday! #WorldCup2022  SEE HOW: https://t.co/kXB3eO4fCX https://t.co/VjOQ6D21qE
2753,positive,neutral,neutral,negative,negative,negative,"With the World Cup 2022 began in Qatar, I can now place FIFA in same category as IOC; WHO; UN. For wasting people effort, disposing people goodwill &amp; money.  These international bodies must review &amp; restructure, otherwise, nothing constructive would ever been done. #WorldCup2022"
2754,neutral,positive,positive,negative,negative,positive,#JioCinema #WorldCup2022 Referee plz show Red Card to jio. Somebody send him out of the field.
2755,neutral,negative,negative,negative,negative,neutral,"On the Samsung TV, #jiocinema isn't even streaming the #WorldCup2022 . The icon isn't even there. 😂. What a shot show."
2756,neutral,negative,negative,neutral,neutral,neutral,Yellow for #Qatar  #WorldCup2022 #FIFAWorldCup
2757,positive,positive,positive,neutral,neutral,neutral,"Captain of the Qatari 🇶🇦 national team Hassan Al-Haidous, wear the captain armband bearing the flag of #Palestine 🇵🇸.  #WorldCup2022 #RaisePalestineFlag  #FIFAWorldCup #Act4Palestine https://t.co/H4T6HoBMeA"
2758,neutral,positive,negative,neutral,neutral,neutral,"Captain of the Qatari 🇶🇦 national team Hassan Al-Haidous, wear the captain armband bearing the flag of #Palestine 🇵🇸.  #WorldCup2022 #RaisePalestineFlag  #FIFAWorldCup #Act4Palestine https://t.co/XK3mRTEQtP"
2759,positive,neutral,negative,negative,negative,negative,Embarrassing on and off the pitch #WorldCup2022 https://t.co/WhDWIxrgTr
2760,neutral,negative,positive,negative,negative,negative,@FIFAWorldCup worst opening match ever. #WorldCup2022 #QatarWorldCup2022 sucks
2761,positive,neutral,neutral,positive,positive,neutral,Qatar 2022 World Cup is here! Group B is imminent.Which is your favourite Group B retro subbuteo kit from  @helcol123subbu1? #england #wales  #Iran  #USA #qatar2022worldcup #wc2022 #WorldCup #worldcup2022 #FIFAWorldCup https://t.co/CMO8OxH402
2762,neutral,positive,positive,neutral,positive,neutral,Cifu making his debut in the #WorldCup2022!  #LAFC
2763,positive,negative,neutral,neutral,neutral,neutral,Valencia has been lights out for Ecuador. #WorldCup2022
2764,positive,positive,neutral,negative,negative,negative,#WorldCup2022 Really poor second half  #QATECU
2765,negative,neutral,negative,positive,positive,positive,You Know What Bae ..  U are the best love U are The Besttttt I'M So Proud Of My  KING Only U Can Do it 🔥🔥 #JUNGKOOK #JUNGKOOKxFIFA #FIFAWorldCup  #WorldCup2022 @BTS_twt @bts_bighit https://t.co/PudEftC9KI
2766,positive,positive,positive,negative,negative,negative,"I am glad Qatar is being called out for being homophobic, too culturistic while conducting a global event and for abusing workers.  They should be condemned unequivocally irrespective of their faith. It's all about humanity.  #WorldCup2022 #QatarWorldCup2022"
2767,neutral,neutral,positive,neutral,negative,positive,"Enner Valencia is back on the floor with an injury - and it looks like that'll be the end of his match 😢  A disallowed goal, converted penalty and outstanding header to start his World Cup campaign   #WorldCup2022"
2768,neutral,negative,positive,negative,negative,negative,Football #WorldCup2022 is turning into a nightmarish killjoy with #JioCinema hanging every other minute. What has Ambani got against football?
2769,neutral,neutral,negative,negative,neutral,positive,"Finally, moved away from #Cricket  Watching #football #WorldCup2022 is like a ritual for Bengalis   Am I the only one facing issues in #JioTV   #FIFAWorldCup #Ecuador vs #Qatar #Qatar2022"
2770,positive,positive,neutral,positive,positive,positive,Everything about the world cup opening ceremony was exceptional and breathtaking. We're humbled by the entire performance. Absolutely wow fantastic. Morgan Freeman is a goat ❤❤ #FIFAWorldCup #WorldCup2022 #WorldcupQatar2022 #WorldCup #hweneaokyere #ghanatwitter https://t.co/RSLuQWj3cb
2771,positive,neutral,neutral,neutral,neutral,neutral,Valencia down again cradling his knee. Now coming off. #WorldCup2022 https://t.co/2iEOMD34VM
2772,neutral,neutral,negative,negative,negative,positive,"@reliancejio @JioCinema, please buy Liverpool we want them to lag such Worldcup streaming is ..   Thanks for ruining the experience. #FIFAWorldCup #WorldCup2022"
2773,positive,positive,positive,negative,negative,neutral,While you're watching the #WorldCup2022 in Qatar just remember you canceled conservatives for saying there's only 2 genders.
2774,neutral,positive,positive,negative,negative,negative,"Qatar cannot play, they got no game, no defense and can’t aim— they shouldn’t be in the World Cup to begging with #WorldCup2022"
2775,neutral,neutral,neutral,positive,positive,positive,Our cheer is louder together ! Reserve now on 0547547902!  #mondial #qatar #worldcup #worldcup2022 #worldcupqatar #livegames #jeddahcafes #cafe https://t.co/qxcMou93Ov
2776,neutral,positive,neutral,neutral,neutral,neutral,The World Cup is finally underway in Qatar.  Here’s @AP’s @jamesalanrobson on what to expect from #WorldCup2022. https://t.co/J5Kc6wG2VB
2777,neutral,positive,neutral,negative,negative,negative,@piersmorgan Shut it humans have lost there lives building those stadiums #WorldCup2022
2778,neutral,negative,positive,neutral,neutral,neutral,"Captain of the Qatari 🇶🇦 national team Hassan Al-Haidous, wear the captain armband bearing the flag of #Palestine 🇵🇸.  #WorldCup2022 #RaisePalestineFlag  #FIFAWorldCup #Act4Palestine https://t.co/XwJtjy2rNl"
2779,positive,positive,neutral,neutral,neutral,neutral,Anyone facing streaming issues with @JioCinema? #WorldCup2022 #Qatar2022
2780,positive,neutral,negative,positive,positive,positive,"@CryptoWizardd Big question now  Btw, we're holding #RoadtoQatar2022 with rewards of 10.000$ for #everyone to enjoy our game in the #WorldCup2022 atmosphere 🐍  Great to have you &amp; the community play unlimited for free &amp; collect national  flags to claim rewards now: https://t.co/x19o8O7bMh https://t.co/drlqcdNonl"
2781,positive,neutral,negative,neutral,neutral,neutral,Live look at Ecuador fans when they find beer after the match…#WorldCup2022 https://t.co/FDSKIeGB2f https://t.co/pEJZet94Qm
2782,positive,positive,neutral,neutral,neutral,positive,Lock argentina winner #WorldCup2022 😝
2783,positive,negative,neutral,negative,negative,negative,The Ambani's should be shamed for this @reliancejio telecast of the #WorldCup2022 in india. Lags on high speed internet. @JioCinema fuckery.
2784,neutral,positive,neutral,negative,negative,negative,This will be the first time in World Cup history the host will lose the opening game #worldcup2022 #QatarWorldCup2022
2785,neutral,neutral,positive,neutral,neutral,neutral,But @DStv #WorldCup2022 commentary is going to be in Swahili all throughout 🤷🏾‍♂️
2786,positive,neutral,positive,negative,negative,negative,My expectations were low but this is really the worst World Cup opening match I have ever seen. #QATECU #WorldCup2022
2787,neutral,negative,neutral,negative,negative,negative,Too bad #Qatar can't bribe the ball to go into the net.  #QATECU #WorldCup2022 #WorldCup #FIFAWorldCup #FuckFIFA
2788,neutral,positive,neutral,positive,positive,positive,Excited FIFA World Cup kickin off :-) here a while ago hanging with Pele in Sao Paulo - around 2006  the king of soccer :-) #pele #WorldCup2022 https://t.co/YaSqsvaOKQ
2789,positive,neutral,neutral,negative,negative,negative,"@JohnLegere I am just wondering,if a call for prayer starts right now,will Qatar players put the game on hold to appease allah? Religion ID stupidity.#WorldCup2022"
2790,neutral,positive,neutral,positive,neutral,negative,"Plan accordingly! We open 6:45am daily in time for all 7am kick offs. Televising all matches (excluding 4am &amp; #Thanksgiving Day) Sound on. No rezos, 1st come 1st served!   Full pub hours announcement coming soon!  #greenpostcafe #greenpostpub #lincolnsquare #WorldCup2022 #TeamUSA https://t.co/1Rze3vT10p"
2791,negative,positive,neutral,neutral,neutral,neutral,#Equador has overpowered hosts #Qatar in the opening match of the #WorldCup2022
2792,positive,neutral,neutral,neutral,neutral,neutral,@ESPNFC Now does everyone see why this years first goal was offside ? It was a last ditch effort for #Qat to get the opener of their home #Worldcup   #FIFAWorldCup #WorldCup2022 #Qat #ECU
2793,neutral,neutral,neutral,positive,positive,positive,Me &amp; my brother have agreed if Qatar 🇶🇦 (me ) or Ecuador 🇪🇨 (Him) will go bald if They win the World Cup  Nice to know I’ll be keeping my hair #FIFAWorldCup #worldcup2022
2794,neutral,negative,positive,neutral,neutral,neutral,Meet The African Referees That Will Officiate In the 2022 World Cup.  https://t.co/NbEA4avntK  #WorldCup2022 #Qatarworldcup2022 #Qatar2022 #FIFAWorldCup #FIFAWorldCupQatar2022 #FIFA
2795,positive,neutral,positive,positive,positive,positive,"According to Doha News, it wax a powerful opening statement. The embedded video does include subtitles. I didn't watch the embed but if you want to you'll have to do that! #WorldCup #WorldCup2022 #QatarWorldCup2022 #Qatar https://t.co/W53RgLq8zd"
2796,positive,negative,neutral,neutral,neutral,positive,What is your top 3 guesses to win the World Cup.   Mine is ⬇️  1. France  2. Brazil  3. Belgium   What’s yours predictions?   #WorldCup2022
2797,positive,negative,neutral,neutral,neutral,positive,"French Paris Saint-Germain fans raised Palestinian flags in the stands of the ""Princes' Park"" stadium, before the start of the team's match against the Israeli club, Maccabi Haifa, in the fifth round of the European Champions League. #WorldCup2022 #RaisePalestineFlag 🇵🇸"
2798,positive,negative,positive,neutral,neutral,neutral,Emir of Qatar to its goalkeeper after 1st match in #WorldCup2022 🥸  https://t.co/UUKc0HWSmD
2799,positive,neutral,neutral,neutral,neutral,negative,"Ok, I'm doing it again this Cup for shits &amp; gigs - #shallowcup2022 #besthair of the match Ecuador v Qatar: Sarmiento 🇪🇨 #worldcup2022"
2800,negative,negative,positive,positive,positive,positive,The #WorldCup2022 is in Qatar but the excitement is in Kerala. #FIFAWorldCup Screening in Kozhikode.    #FIFAWorldCupQatar2022 #KeralaFootball https://t.co/7kD3WbZFvP
2801,positive,neutral,positive,positive,positive,positive,"The Egyption footballer, Mohamed ELNeny, tweeted on 15th of May, 2021, “My heart and my soul and my support for you Palestine” #WorldCup2022 #RaisePalestineFlag 🇵🇸 #PalestinianDream"
2802,negative,positive,neutral,negative,negative,negative,@Wrexham_AFC  would beat Qatar &amp; Ecuador .. shit first game #WorldCup2022
2803,neutral,neutral,positive,neutral,positive,positive,🚀🇩🇪🏆Join our chat fans:  https://t.co/EbqzSYFBaS  #FIFAWorldCup #WorldCup2022 #Qatar2022 #GermanyFanToken  @DFB_Team_EN  #CHZ https://t.co/XvwU5Ee1P0
2804,neutral,negative,positive,neutral,positive,neutral,Let the #WorldCup2022 begin ⚽️🤝
2805,neutral,negative,positive,positive,positive,positive,"I would pay to see Toby chasing the soccer ball on that field. He would be the fastest good boy on the pitch! #worldcup #worldcup2022 #dogsofinstagram #dogloverclub #soccer #dogdad #qatar @ Bellingham, Washington https://t.co/Mpd2ddYke5"
2806,positive,positive,neutral,positive,positive,positive,Leicester City football players Hamza Choudhury and Wesley Fofana celebrated their FA Cup final victory over Chelsea by waving the Palestinian flag after the final whistle. #WorldCup2022 #RaisePalestineFlag 🇵🇸 #PalestinianDream
2807,positive,neutral,negative,neutral,negative,positive,"The irony at the #WorldCup2022 is that any fans of the Qatar national team are the ones who need some beer right now…  Fun fact: Qatars population is roughly the same size as Orange County, CA.   This team would probably lose to the OC U18 team 😂"
2808,positive,positive,neutral,neutral,neutral,neutral,The 17% who voted Qatar...  #WorldCup2022 https://t.co/60nqVTNUSE https://t.co/qTBIQm5aho
2809,negative,positive,positive,positive,positive,positive,"@CoinDesk @sndr_krisztian Amazing, eager to see Crypto &amp; Football combination 🔥🔥  Great to have you &amp; the community join our #Roadtoqatar2022 event, where you can earn 10.000$ by playing our game unlimited for free &amp; collect national flags in #worldcup2022 to claim the prize: https://t.co/2wzR4Rmt6U"
2810,positive,positive,neutral,positive,positive,positive,@goal @neymarjr @vinijr @gabimartinelli @tsilva3 @CBF_Futebol The boys are here! Bets of luck #Brazil! #WorldCup2022
2811,neutral,positive,neutral,neutral,positive,positive,"@markmagill14 Thanks for your #WorldCup2022 #RequestABet. We've passed this on to our traders and will be in touch if a price can be offered.  Due to high volumes, not all requests can be priced, we would advise checking those available on site here &gt; https://t.co/VfJs5uGSH2 https://t.co/xlrHDyEmHo"
2812,neutral,positive,negative,positive,positive,positive,"✍️ Name: Martin  🇪🇨 Nation: Ecuador  For Martin, CEO of @EcuadorHeroes,  watching the Ecuador national team play has always been a family event. He's hoping more memories can be made with his country playing at another major tournament! 🏆  #FacesOfFootball | #WorldCup2022"
2813,neutral,negative,negative,negative,negative,negative,"I'm not sure where all the criticism for the @USMNT comes from. Watching the opening #WorldCup2022 game and not impressed by either team, offensively or defensively."
2814,positive,positive,positive,negative,neutral,neutral,AN E VALENCIA HALF- TWO GOALS AND ANOTHER DISALLOWED!!!  HALF TIME  🇶🇦 Qatar 0 🇪🇨 Ecuador 2 (E Valencia Pen 15' &amp; 31')  #WorldCup2022 https://t.co/gWX9OIpstL
2815,neutral,positive,positive,neutral,neutral,neutral,Watching the first match of the FIFA World Cup 2022!  #WorldCup2022 #FIFAWorldCup #EcuadorvsQatar https://t.co/m9vCuv9IYg
2816,positive,negative,negative,negative,negative,negative,"Reminder: the reason you're watching the #WorldCup2022 in late November from a country with no history in the sport, no national league (requirement), no human rights and from stadiums built by slave labour is because #FIFA is shamefully corrupt #FIFAWorldCup #WorldcupQatar2022"
2817,positive,neutral,neutral,neutral,neutral,neutral,"Jungkook and Fahad Al-Kubaisi perform the song ""Dreamers"" at the opening of the World Cup  #FIFAWorldCupQatar2022 #FIFAWorldCup #WorldCup2022 #Qatar2022 #BTS #BTSQatar #Jung #BTSJungkook #Qatar #QatarARMY #ARMY #BTSARMY #Jungkookie #Jungkook97 #BTSARMY #JUNGKOOK https://t.co/GCr2x5jIFw"
2818,neutral,positive,neutral,neutral,neutral,positive,Safe to say Ecuador didn't accept the bribe #WorldCup2022
2819,positive,negative,positive,neutral,neutral,positive,@elonmusk which team do you think will win #WorldCup2022?
2820,positive,positive,positive,neutral,positive,positive,"Enjoying the #worldcup2022 so far, just wondering who has a worse human rights record, Qatar or my government... gonna be close!"
2821,neutral,negative,positive,neutral,neutral,positive,MultiChoice watch party                                #WorldCup #FIFAWorldCup  #WorldCup2022 #Hereforeveryfan        #Niyanu https://t.co/gnAyrgO3sy
2822,neutral,positive,negative,negative,negative,negative,"#JioCinema worst software engineers ever. When you can't handle scale, why host #WorldCup2022 ?"
2823,negative,positive,positive,negative,negative,positive,"#Qatar has 100% hired those blokes in purple tops to jump up and down for 90 mins! Free T-shirts and just jump, even though it is already 0-2! Pretend to be happy. And offside my ass! Corruption obvious in plain sight in the first game at #QatarWorldCup2022 #QATECU #worldcup2022 https://t.co/nbKzkKU7B2"
2824,neutral,positive,neutral,neutral,neutral,neutral,Freekick #WorldCup2022 #FIFAWorldCup
2825,neutral,negative,neutral,negative,negative,negative,@JioCinema you have ruined #WorldCup2022 the streaming service on TV is so poor it kept disconnecting and lagging the whole experience was so frustrating 😞 I was forced to watch on mobile to have atleast stable experience
2826,positive,positive,negative,neutral,neutral,negative,England will take knee before World Cup game with Iran in solidarity with people of Iran who are getting murdered by Islamic republic. Thank you @England.  #MahsaAmini #OpIran #WorldCup2022 #Kian_Pirfalak #Mahabad  https://t.co/4FVWeRV1rm
2827,positive,negative,positive,neutral,neutral,neutral,World Cups 2022 Qatar Updates - Tomorrow England vs Iran  Senegal vs Netherlands  #England #Iran #Senegal #Netherlands  #Qatar #Ecuador #Équateur #FIFA #worldcup2022 #sports #WorldCupQatar2022 #world #goal #regs #facebookfootball #WorldCupOpeningMatch #worldcupupdates #update https://t.co/DtsbJ2Tpex
2828,neutral,positive,positive,neutral,positive,positive,Yes he does. #WorldCup2022 https://t.co/FWpH3BOLMd
2829,negative,positive,negative,neutral,neutral,positive,Football fan raises the Palestinian flag during the first match of #WorldCup2022 in Qatar. https://t.co/xVCvbbabOF
2830,negative,negative,negative,positive,positive,positive,#Jungkook's performance was the highlight of the FIFA #WorldCup2022 opening ceremony. https://t.co/SaCTz6WBcZ
2831,negative,negative,positive,neutral,positive,neutral,Tony and Luv-E go to the World Cup #WorldCup #worldcup2022 #qatar2022 #football #futbol #englandfootball https://t.co/t4BpK8u4wr
2832,positive,neutral,positive,negative,negative,negative,"If Qatar lose today, they'll be the first host nation to lose their opening FIFA World Cup match 🇶🇦  #WorldCup2022"
2833,positive,negative,neutral,positive,positive,positive,"@elonmusk #WorldCup2022 is coming with a lot of events from many sides⚽️  Let's join our #RoadToQatar2022 event for free to earn 10,000$ by collecting enough flags to claim prizes: https://t.co/2wzR4Rmt6U"
2834,positive,negative,neutral,positive,positive,positive,Great energy here   MultiChoice watch party                                #WorldCup #FIFAWorldCup  #WorldCup2022 #Hereforeveryfan        #Niyanu https://t.co/lLDDj5BSvL
2835,positive,neutral,positive,negative,negative,negative,Second half 1-0 Qatar. This game is stinking #WorldCup2022
2836,positive,positive,negative,negative,negative,negative,"@GodwinTOKO I am just wondering,if a call for prayer starts right now,will Qatar players put the game on hold to appease allah? Religion ID stupidity.#WorldCup2022"
2837,positive,negative,neutral,positive,neutral,neutral,World Cup live  Was nearly another goal by Ecuador   #FIFAWorldCup       #WorldCup2022 #EcuadorvsQatar
2838,neutral,positive,positive,negative,neutral,negative,Dramatic Moment World Cup 2022 Anthem Singer Maluma Storms Out of TV Interview After He Is Asked About Qatar's Human Rights Abuses [WATCH] https://t.co/6LCQ3RMrDi #Maluma #MalumaEnQatar #Qatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup #WorldCup #WorldCup2022 #FIFAWorldCup
2839,neutral,neutral,positive,positive,positive,negative,"World Cup 2022 is here!! We will be open daily at 11am, with limited earlier games available. #sonomapub @sonomapub @murphyssonoma #worldcup2022 @ Murphy's Irish Pub &amp; Restaurant https://t.co/qt1OpH25Sc"
2840,neutral,negative,positive,positive,positive,positive,Jungkook! You did great! 👏👏👏 The FIFA World Cup 2022 begins.   #Jungkook #FIFAWorldCup     #WorldCup2022 #Qatar2022  #OpeningCeremony #Dreamers2022 #BTS
2841,neutral,positive,neutral,negative,negative,negative,Boring second half so far #QATECU #WorldCup2022
2842,neutral,positive,neutral,neutral,neutral,neutral,70 minutes on the clock in Qatar and Ecuador still lead 2-0 through Enner Valencia's first-half brace ⚽️⚽️  #WorldCup2022
2843,negative,neutral,negative,negative,negative,negative,This is one boring match.  #ECUQAT #WorldCup #WorldCup2022
2844,positive,positive,neutral,negative,negative,negative,#Qatar on the way to become 1st host nation to lose opening World Cup match #FIFAWorldCup2022 #Qatar2022 #WorldCup2022
2845,neutral,positive,negative,positive,positive,neutral,Can’t wait to fill in that wallchart #Worldcup2022 #FIFAWorldCup
2846,neutral,neutral,neutral,positive,positive,positive,#WorldCup2022  PROUD OF YOU JEON JONGKOOK🔥🔥🔥🔥🔥🔥🔥 #BORAHAE https://t.co/hTiGCtEaFQ
2847,neutral,negative,negative,neutral,neutral,neutral,Didn’t realised Ecuador were a feeder team for @OfficialBHAFC    #QATECU #WorldCup #WorldCup2022 #Qatar2022 https://t.co/TVfltgMWkL
2848,neutral,negative,negative,neutral,neutral,neutral,What halftime talk did they give to Ecuador?? #WorldCup2022
2849,positive,positive,negative,positive,neutral,negative,Where are you watching the 2022 FIFA World Cup opening match between Ecuador and Qatar?   No one is missing the action at the Al Bayt Stadium in Qatar   #FansConnect #Afrosport #Ecuador #Qatar #WorldCup2022 #WorldCup #Qatar2022 https://t.co/hqG8X6Hd5c
2850,neutral,positive,positive,positive,positive,neutral,Fans SHOWED UP in a big way at the set of FIFA World Cup Live in Doha  🙌🔥  #FIFAWorldCup #WorldCup #WorldCup2022 #BreakingNews #Qutarworldcup #Ecuador #EcuadorvsQatar #ECU  https://t.co/fZDJTzj8W0
2851,positive,positive,neutral,negative,negative,negative,Even Dion Dublin sounds bored with himself. #WorldCup2022 #BBCWorldCup
2852,positive,positive,positive,neutral,neutral,positive,Looks like #Qatar have a construction worker in goal ...  #WorldCup2022 #QatarWorldCup2022
2853,neutral,neutral,positive,neutral,neutral,neutral,"Captain of the #Qatari 🇶🇦 national team Hassan Al-Haidous, wear the captain armband bearing the flag of #Palestine 🇵🇸  #WorldCup2022 #RaisePalestineFlag  #FIFAWorldCup2022 https://t.co/tmDwWdPqmX"
